0	latitude	longitude	diurnal
550	36.0183	-121.3588	50382.6
551	36.0183	-121.3586	50382.6
552	36.0183	-121.3580	50382.6
553	36.0183	-121.3577	50382.6
554	36.0183	-121.3575	50382.6
555	36.0183	-121.3569	50382.6
556	36.0183	-121.3566	50382.6
557	36.0183	-121.3563	50382.6
558	36.0183	-121.3558	50382.6
559	36.0183	-121.3555	50382.6
560	36.0183	-121.3552	50382.5
561	36.0184	-121.3547	50382.5
562	36.0184	-121.3544	50382.5
563	36.0184	-121.3541	50382.5
564	36.0184	-121.3536	50382.5
565	36.0184	-121.3533	50382.5
566	36.0184	-121.3530	50382.5
567	36.0184	-121.3525	50382.5
568	36.0184	-121.3522	50382.5
569	36.0184	-121.3519	50382.5
570	36.0184	-121.3513	50382.5
571	36.0184	-121.3511	50382.5
572	36.0184	-121.3508	50382.5
573	36.0184	-121.3502	50382.5
574	36.0184	-121.3500	50382.5
575	36.0184	-121.3497	50382.5
576	36.0185	-121.3491	50382.5
577	36.0185	-121.3488	50382.5
578	36.0185	-121.3486	50382.5
579	36.0185	-121.3480	50382.5
580	36.0185	-121.3477	50382.5
581	36.0185	-121.3475	50382.5
582	36.0185	-121.3469	50382.5
583	36.0185	-121.3466	50382.5
584	36.0185	-121.3463	50382.4
585	36.0185	-121.3458	50382.4
586	36.0185	-121.3455	50382.4
587	36.0185	-121.3450	50382.4
588	36.0185	-121.3447	50382.4
589	36.0185	-121.3444	50382.4
590	36.0185	-121.3438	50382.4
591	36.0186	-121.3436	50382.4
592	36.0186	-121.3433	50382.4
593	36.0186	-121.3427	50382.4
594	36.0186	-121.3425	50382.4
595	36.0186	-121.3422	50382.4
596	36.0186	-121.3416	50382.4
597	36.0186	-121.3413	50382.4
598	36.0186	-121.3411	50382.4
599	36.0186	-121.3405	50382.4
600	36.0186	-121.3402	50382.4
601	36.0186	-121.3400	50382.4
602	36.0186	-121.3394	50382.4
603	36.0186	-121.3391	50382.4
604	36.0186	-121.3388	50382.4
605	36.0187	-121.3383	50382.4
606	36.0187	-121.3380	50382.4
607	36.0187	-121.3377	50382.3
608	36.0187	-121.3372	50382.3
609	36.0187	-121.3369	50382.3
610	36.0187	-121.3366	50382.3
611	36.0187	-121.3361	50382.3
612	36.0187	-121.3358	50382.3
613	36.0187	-121.3355	50382.3
614	36.0187	-121.3350	50382.3
615	36.0187	-121.3347	50382.3
616	36.0187	-121.3344	50382.3
617	36.0187	-121.3338	50382.3
618	36.0187	-121.3336	50382.3
619	36.0187	-121.3333	50382.3
620	36.0188	-121.3327	50382.3
621	36.0188	-121.3325	50382.3
622	36.0188	-121.3319	50382.3
623	36.0188	-121.3316	50382.3
624	36.0188	-121.3313	50382.3
625	36.0188	-121.3308	50382.3
626	36.0188	-121.3305	50382.3
627	36.0188	-121.3302	50382.3
628	36.0188	-121.3297	50382.2
629	36.0188	-121.3294	50382.2
630	36.0188	-121.3291	50382.2
631	36.0188	-121.3286	50382.2
632	36.0188	-121.3283	50382.2
633	36.0188	-121.3280	50382.2
634	36.0188	-121.3275	50382.2
635	36.0189	-121.3272	50382.2
636	36.0189	-121.3269	50382.2
637	36.0189	-121.3263	50382.2
638	36.0189	-121.3261	50382.2
639	36.0189	-121.3258	50382.2
640	36.0189	-121.3252	50382.2
641	36.0189	-121.3250	50382.2
642	36.0189	-121.3247	50382.2
643	36.0189	-121.3241	50382.2
644	36.0189	-121.3238	50382.2
645	36.0189	-121.3236	50382.2
646	36.0189	-121.3230	50382.2
647	36.0189	-121.3227	50382.2
648	36.0189	-121.3225	50382.2
649	36.0189	-121.3219	50382.2
650	36.0190	-121.3216	50382.2
651	36.0190	-121.3213	50382.1
652	36.0190	-121.3208	50382.1
653	36.0190	-121.3205	50382.1
654	36.0190	-121.3202	50382.1
655	36.0190	-121.3197	50382.1
656	36.0190	-121.3194	50382.1
657	36.0190	-121.3191	50382.1
658	36.0190	-121.3186	50382.1
659	36.0190	-121.3183	50382.1
660	36.0190	-121.3177	50382.1
661	36.0190	-121.3175	50382.1
662	36.0190	-121.3172	50382.1
663	36.0190	-121.3166	50382.1
664	36.0190	-121.3163	50382.1
665	36.0191	-121.3161	50382.1
666	36.0191	-121.3155	50382.1
667	36.0191	-121.3152	50382.1
668	36.0191	-121.3150	50382.1
669	36.0191	-121.3144	50382.1
670	36.0191	-121.3141	50382.1
671	36.0191	-121.3138	50382.1
672	36.0191	-121.3133	50382.1
673	36.0191	-121.3130	50382.1
674	36.0191	-121.3127	50382.1
675	36.0191	-121.3122	50382.0
676	36.0191	-121.3119	50382.0
677	36.0191	-121.3116	50382.0
678	36.0191	-121.3111	50382.0
679	36.0191	-121.3108	50382.0
680	36.0192	-121.3105	50382.0
681	36.0192	-121.3100	50382.0
682	36.0192	-121.3097	50382.0
683	36.0192	-121.3094	50382.0
684	36.0192	-121.3088	50382.0
685	36.0192	-121.3086	50382.0
686	36.0192	-121.3083	50382.0
687	36.0192	-121.3077	50382.0
688	36.0192	-121.3075	50382.0
689	36.0192	-121.3072	50382.0
690	36.0192	-121.3066	50382.0
691	36.0192	-121.3063	50382.0
692	36.0192	-121.3061	50382.0
693	36.0192	-121.3055	50382.0
694	36.0192	-121.3052	50382.0
695	36.0193	-121.3047	50382.0
696	36.0193	-121.3044	50382.0
697	36.0193	-121.3041	50382.0
698	36.0193	-121.3036	50381.9
699	36.0193	-121.3033	50381.9
700	36.0193	-121.3030	50381.9
701	36.0193	-121.3025	50381.9
702	36.0193	-121.3022	50381.9
703	36.0193	-121.3019	50381.9
704	36.0193	-121.3013	50381.9
705	36.0193	-121.3011	50381.9
706	36.0193	-121.3008	50381.9
707	36.0193	-121.3002	50381.9
708	36.0193	-121.2997	50381.9
709	36.0193	-121.2991	50381.9
710	36.0193	-121.2988	50381.9
711	36.0193	-121.2983	50381.9
712	36.0193	-121.2977	50381.9
713	36.0193	-121.2972	50381.9
714	36.0193	-121.2966	50381.9
715	36.0193	-121.2963	50381.9
716	36.0193	-121.2958	50381.9
717	36.0193	-121.2952	50381.9
718	36.0192	-121.2947	50381.9
719	36.0192	-121.2941	50381.9
720	36.0192	-121.2938	50381.9
721	36.0192	-121.2933	50381.9
722	36.0192	-121.2927	50381.8
723	36.0192	-121.2922	50381.8
724	36.0192	-121.2916	50381.8
725	36.0192	-121.2913	50381.8
726	36.0192	-121.2908	50381.8
727	36.0192	-121.2902	50381.8
728	36.0192	-121.2897	50381.8
